ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK
10,50,100,2,1,10,1,15087.5,32.400932400932405,895.5035971223022,-408.5344827586207,858,2.191990235623276
10,50,100,2,2,10,1,13087.5,32.38770685579196,897.3540145985402,-414.24825174825173,846,2.166222816418506
10,50,100,2,5,10,1,15187.5,31.65829145728643,899.5039682539683,-419.5772058823529,796,2.143834211304091
10,50,100,2,10,10,1,19600.0,32.15339233038348,896.9036697247707,-443.1521739130435,678,2.0239180185106425
10,50,125,1,1,10,1,16400.0,34.4988344988345,898.3952702702703,-410.0978647686833,858,2.1906850716645705
10,50,125,1,2,10,1,14787.5,34.515366430260045,900.1712328767123,-416.0198555956679,846,2.163769879655922
10,50,125,1,5,10,1,19737.5,33.91959798994975,902.4074074074074,-421.6254752851711,796,2.1403056985516686
10,50,125,1,10,10,1,19975.0,33.92330383480826,901.8478260869565,-453.23660714285717,678,1.9897947603396036
10,50,125,2,1,10,1,16400.0,34.4988344988345,898.3952702702703,-410.0978647686833,858,2.1906850716645705
10,50,125,2,2,10,1,14787.5,34.515366430260045,900.1712328767123,-416.0198555956679,846,2.163769879655922
10,50,125,2,5,10,1,19737.5,33.91959798994975,902.4074074074074,-421.6254752851711,796,2.1403056985516686
10,50,125,2,10,10,1,19975.0,33.92330383480826,901.8478260869565,-453.23660714285717,678,1.9897947603396036
10,50,150,1,1,10,1,14075.0,36.36363636363637,897.9166666666666,-446.42857142857144,858,2.011333333333333
10,50,150,1,2,10,1,13675.0,36.40661938534279,899.5941558441558,-453.0669144981413,846,1.9855657675657674
10,50,150,1,5,10,1,17450.0,35.92964824120603,901.6608391608391,-459.2647058823529,796,1.9632704791206232
10,50,150,1,10,10,1,21600.0,36.283185840707965,901.0162601626016,-491.37731481481484,678,1.8336545725603293
10,50,150,2,1,10,1,14075.0,36.36363636363637,897.9166666666666,-446.42857142857144,858,2.011333333333333
10,50,150,2,2,10,1,13675.0,36.40661938534279,899.5941558441558,-453.0669144981413,846,1.9855657675657674
10,50,150,2,5,10,1,17450.0,35.92964824120603,901.6608391608391,-459.2647058823529,796,1.9632704791206232
10,50,150,2,10,10,1,21600.0,36.283185840707965,901.0162601626016,-491.37731481481484,678,1.8336545725603293
10,50,175,1,1,10,1,32900.0,38.22843822843823,894.8170731707318,-454.29245283018867,858,1.9696939000331755
10,50,175,1,2,10,1,32500.0,38.297872340425535,896.3734567901234,-461.2547892720307,846,1.9433369097474589
10,50,175,1,5,10,1,31700.0,37.93969849246231,898.0960264900663,-468.1174089068826,796,1.918527295507428
10,50,175,1,10,10,1,32412.5,38.34808259587021,896.25,-500.7177033492823,678,1.7899307214524605
10,50,175,2,1,10,1,32900.0,38.22843822843823,894.8170731707318,-454.29245283018867,858,1.9696939000331755
10,50,175,2,2,10,1,32500.0,38.297872340425535,896.3734567901234,-461.2547892720307,846,1.9433369097474589
10,50,175,2,5,10,1,31700.0,37.93969849246231,898.0960264900663,-468.1174089068826,796,1.918527295507428
10,50,175,2,10,10,1,32412.5,38.34808259587021,896.25,-500.7177033492823,678,1.7899307214524605
10,50,200,1,1,10,1,31900.0,39.39393939393939,896.301775147929,-472.59615384615387,858,1.8965490257453634
10,50,200,1,2,10,1,32562.5,39.479905437352244,897.8293413173652,-479.98046875,846,1.8705539074445208
10,50,200,1,5,10,1,31700.0,39.19597989949749,899.599358974359,-484.86570247933884,796,1.8553577915994024
10,50,200,1,10,10,1,29850.0,39.823008849557525,898.0555555555555,-517.8921568627451,678,1.7340589998422464
10,50,200,2,1,10,1,31900.0,39.39393939393939,896.301775147929,-472.59615384615387,858,1.8965490257453634
10,50,200,2,2,10,1,32562.5,39.479905437352244,897.8293413173652,-479.98046875,846,1.8705539074445208
10,50,200,2,5,10,1,31700.0,39.19597989949749,899.599358974359,-484.86570247933884,796,1.8553577915994024
10,50,200,2,10,10,1,29850.0,39.823008849557525,898.0555555555555,-517.8921568627451,678,1.7340589998422464
10,75,10,1,1,10,1,29900.0,15.61771561771562,1243.8432835820895,-220.5110497237569,858,5.640729954985486
10,75,10,1,2,10,1,26425.0,15.36643026004728,1238.6538461538462,-222.97486033519553,846,5.5551278036088565
10,75,10,1,5,10,1,31375.0,15.326633165829145,1208.4016393442623,-220.51186943620178,796,5.479984557900978
10,75,10,1,10,10,1,30662.5,16.224188790560472,1194.5454545454545,-229.8855633802817,678,5.196261291838546
10,75,10,2,1,10,1,29900.0,15.61771561771562,1243.8432835820895,-220.5110497237569,858,5.640729954985486
10,75,10,2,2,10,1,26425.0,15.36643026004728,1238.6538461538462,-222.97486033519553,846,5.5551278036088565
10,75,10,2,5,10,1,31375.0,15.326633165829145,1208.4016393442623,-220.51186943620178,796,5.479984557900978
10,75,10,2,10,10,1,30662.5,16.224188790560472,1194.5454545454545,-229.8855633802817,678,5.196261291838546
10,75,25,1,1,10,1,20012.5,18.414918414918414,1241.139240506329,-277.82142857142856,858,4.46739924594128
10,75,25,1,2,10,1,16537.5,18.203309692671397,1236.6883116883116,-281.03323699421964,846,4.4005055235290484
10,75,25,1,5,10,1,20850.0,18.090452261306535,1209.0277777777778,-280.67484662576686,796,4.307574377656345
10,75,25,1,10,10,1,24250.0,18.87905604719764,1190.625,-288.95454545454544,678,4.1204577630958
10,75,25,2,1,10,1,20012.5,18.414918414918414,1241.139240506329,-277.82142857142856,858,4.46739924594128
10,75,25,2,2,10,1,16537.5,18.203309692671397,1236.6883116883116,-281.03323699421964,846,4.4005055235290484
10,75,25,2,5,10,1,20850.0,18.090452261306535,1209.0277777777778,-280.67484662576686,796,4.307574377656345
10,75,25,2,10,10,1,24250.0,18.87905604719764,1190.625,-288.95454545454544,678,4.1204577630958
10,75,50,1,1,10,1,19937.5,22.144522144522146,1231.9736842105262,-355.501497005988,858,3.465452873155623
10,75,50,1,2,10,1,14875.0,21.98581560283688,1228.0913978494623,-359.81060606060606,846,3.413160638301485
10,75,50,1,5,10,1,25287.5,22.110552763819097,1204.971590909091,-356.81451612903226,796,3.37702513894739
10,75,50,1,10,10,1,23612.5,22.71386430678466,1182.6298701298701,-369.03625954198475,678,3.204644095400398
10,75,50,2,1,10,1,19937.5,22.144522144522146,1231.9736842105262,-355.501497005988,858,3.465452873155623
10,75,50,2,2,10,1,14875.0,21.98581560283688,1228.0913978494623,-359.81060606060606,846,3.413160638301485
